"Person" "item1" "item2" "item3" "item4" "item5" "item6" "item7" "item8" "item9" "item10" "item11" "age" "sex"
"1" 1 3 2 3 2 2 1 4 1 1 3 4 25 2
"2" 2 4 1 4 3 1 1 4 1 1 4 2 27 1
"3" 3 3 1 3 3 1 1 3 1 1 3 4 38 1
"4" 4 2 2 2 2 2 2 2 2 2 2 4 31 2
"5" 5 2 2 2 2 1 1 3 2 2 2 2 22 1
"6" 6 4 1 3 3 1 1 4 1 1 4 5 21 2
"7" 7 2 3 3 2 2 3 2 4 4 1 4 26 2
"8" 8 3 1 4 4 1 1 4 1 1 3 2 26 2
"9" 9 3 1 3 3 1 1 3 1 1 3 4 34 1
"10" 10 4 1 3 2 1 1 4 2 1 4 4 22 1
"11" 11 5 3 5 3 2 6 4 4 3 3 4 21 2
"12" 12 3 5 2 3 5 3 3 2 6 4 6 40 2
"13" 13 4 4 5 5 2 3 3 3 5 7 5 39 2
"14" 14 3 2 4 5 4 4 4 3 3 4 3 34 2
"15" 15 3 5 4 4 5 5 3 6 4 3 5 34 2
"16" 16 5 1 5 5 4 4 4 2 5 4 3 26 1
"17" 17 3 3 5 5 4 3 4 5 4 2 4 25 1
"18" 18 3 2 4 4 6 4 4 4 4 5 5 29 2
"19" 19 5 3 6 4 3 4 4 5 4 4 6 27 1
"20" 20 5 1 6 4 4 3 5 2 4 5 4 21 2
